ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
355402222,1.69E+15,7/15/2023 20:08,BTC-PERPETUAL,trade,open sell,100,-100,30320,30318.96,30307.52,0,0,0.05,0.00000165,0,-0.00000165,100.0605431,100.06,172207024,16733623215,Source: 'api:OfelyaRza'
355402062,1.69E+15,7/15/2023 20:05,BTC-PERPETUAL,trade,close buy,9870,0,30331.5,30330.83,30320.62,-0.00000536,0,0.05,0.0001627,0,-0.0001627,100.0605448,100.07,172206945,16733599815,Source: api
355402061,1.69E+15,7/15/2023 20:05,BTC-PERPETUAL,trade,close buy,20460,-9870,30331.5,30330.83,30320.62,-0.00001112,0,0.05,0.00033727,0,-0.00033727,100.0607075,100.07,172206944,16733599815,Source: api
355402059,1.69E+15,7/15/2023 20:05,BTC-PERPETUAL,trade,open sell,30330,-30330,30331,30331.18,30320.95,0,0,0.05,0.00049998,0,-0.00049998,100.0610447,100.07,172206943,16733599720,Source: 'api:OfelyaRza'
355402025,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,10930,0,30334,30332.02,30323.06,0.00013545,0,0.05,0.00018016,0,-0.00018016,100.0615447,100.07,172206927,16733594291,Source: api
355402024,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,1980,-10930,30333.5,30332.02,30323.06,0.00002561,0,0.05,0.00003264,0,-0.00003264,100.0617249,100.07,172206926,16733594291,Source: api
355402023,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,120,-12910,30333.5,30332.02,30323.06,0.00000155,0,0.05,0.00000198,0,-0.00000198,100.0617575,100.07,172206925,16733594291,Source: api
355402022,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,200,-13030,30333,30332.02,30323.06,0.0000027,0,0.05,0.0000033,0,-0.0000033,100.0617595,100.07,172206924,16733594291,Source: api
355402021,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,10,-13230,30333,30332.02,30323.06,1.40E-07,0,0.052,1.70E-07,0,-1.70E-07,100.0617628,100.07,172206923,16733594291,Source: api
355402020,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,1500,-13240,30332.5,30332.02,30323.06,0.00002103,0,0.05,0.00002473,0,-0.00002473,100.061763,100.07,172206922,16733594291,Source: api
355402019,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,100,-14740,30332,30332.02,30323.06,0.00000146,0,0.05,0.00000165,0,-0.00000165,100.0617877,100.07,172206921,16733594291,Source: api
355402018,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,129060,-14840,30331.5,30332.02,30323.06,0.00195007,0,0.05,0.00212749,0,-0.00212749,100.0617893,100.07,172206920,16733594291,Source: api
355402017,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,129060,-143900,30331.5,30332.02,30323.06,0.00195007,0,0.05,0.00212749,0,-0.00212749,100.0639168,100.07,172206919,16733594291,Source: api
355402016,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,close buy,30330,-272960,30331.5,30332.02,30323.06,0.00045828,0,0.05,0.00049998,0,-0.00049998,100.0660443,100.07,172206918,16733594291,Source: api
355402007,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,open sell,30220,-303290,30331,30332.02,30323.06,0,0,0.05,0.00049817,0,-0.00049817,100.0665443,100.07,172206917,16733594154,Source: 'api:OfelyaRza'
355402006,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,open sell,10,-273070,30331,30332.02,30323.06,0,0,0.052,1.70E-07,0,-1.70E-07,100.0670425,100.07,172206916,16733594154,Source: 'api:OfelyaRza'
355402005,1.69E+15,7/15/2023 20:04,BTC-PERPETUAL,trade,open sell,100,-273060,30331,30332.02,30323.06,0,0,0.05,0.00000165,0,-0.00000165,100.0670426,100.07,172206915,16733594154,Source: 'api:OfelyaRza'
355401639,1.69E+15,7/15/2023 19:58,BTC-PERPETUAL,trade,open sell,29550,-272960,30349.5,30349.14,30337.77,0,0,0.05,0.00048683,0,-0.00048683,100.0670443,100.07,172206737,16733549463,Source: 'api:OfelyaRza'
355401638,1.69E+15,7/15/2023 19:58,BTC-PERPETUAL,trade,open sell,800,-243410,30349.5,30349.14,30337.77,0,0,0.05,0.00001318,0,-0.00001318,100.0675311,100.07,172206736,16733549463,Source: 'api:OfelyaRza'
355401560,1.69E+15,7/15/2023 19:57,BTC-PERPETUAL,trade,open sell,30350,-242610,30349.5,30352.1,30339.25,0,5.00E-08,0.05,0.00050001,0,-0.00050001,100.0675443,100.07,172206698,16733540923,Source: 'api:OfelyaRza'
355401484,1.69E+15,7/15/2023 19:56,BTC-PERPETUAL,trade,open sell,30350,-212260,30358,30357.41,30341.58,0,6.00E-08,0.05,0.00049987,0,-0.00049987,100.0680443,100.07,172206660,16733536127,Source: 'api:OfelyaRza'
355401224,1.69E+15,7/15/2023 19:53,BTC-PERPETUAL,trade,open sell,30350,-181910,30348.5,30346.7,30337.83,0,0,0.05,0.00050003,0,-0.00050003,100.0685442,100.07,172206530,16733513092,Source: 'api:OfelyaRza'
355401056,1.69E+15,7/15/2023 19:42,BTC-PERPETUAL,trade,open sell,30350,-151560,30348.5,30347.82,30340.34,0,0,0.05,0.00050003,0,-0.00050003,100.0690442,100.07,172206446,16733431447,Source: 'api:OfelyaRza'
355400709,1.69E+15,7/15/2023 19:32,BTC-PERPETUAL,trade,open sell,14900,-121210,30359.5,30359.75,30347.51,0,0,0.05,0.00024539,0,-0.00024539,100.0695442,100.07,172206273,16733362118,Source: 'api:OfelyaRza'
355400708,1.69E+15,7/15/2023 19:32,BTC-PERPETUAL,trade,open sell,15460,-106310,30359.5,30359.75,30347.51,0,2.00E-08,0.05,0.00025462,0,-0.00025462,100.0697896,100.07,172206272,16733362118,Source: 'api:OfelyaRza'
355398677,1.69E+15,7/15/2023 18:59,BTC-PERPETUAL,trade,open sell,30340,-90850,30338.5,30338.59,30335.64,0,0,0.05,0.00050003,0,-0.00050003,100.0700442,100.07,172205262,16733112144,Source: 'api:OfelyaRza'
355398665,1.69E+15,7/15/2023 18:58,BTC-PERPETUAL,trade,open sell,30250,-60510,30338,30340.58,30336.85,0,0,0.05,0.00049855,0,-0.00049855,100.0705443,100.07,172205256,16733108218,Source: 'api:OfelyaRza'
355398664,1.69E+15,7/15/2023 18:58,BTC-PERPETUAL,trade,open sell,90,-30260,30338,30340.58,30336.85,0,-0.00000112,0.05,0.00000148,0,-0.00000148,100.0710428,100.07,172205255,16733108218,Source: 'api:OfelyaRza'
355361677,1.69E+15,7/15/2023 8:00,BTC-PERPETUAL,settlement,short,-30170,-30170,30333.01,0,0,0.11332444,0.00000285,-,0,0,0.11332444,100.0710443,100.07,,,
